Term,Age,TobaccoUse,RatePerThousand
30,43,False,0.4800
30,44,False,0.5300
30,45,False,0.5900
30,46,False,0.6500
30,47,False,0.7100
30,48,False,0.7800
30,49,False,0.8800
30,50,False,1.0300
30,51,False,1.3600
30,52,False,1.7400
30,53,False,2.1400
30,54,False,2.6900
30,55,False,3.2500
30,20,True,0.1500
30,21,True,0.1500
30,22,True,0.1500
30,23,True,0.1500
30,24,True,0.1600
30,25,True,0.1700
30,26,True,0.1700
30,27,True,0.1800
30,28,True,0.2000
30,29,True,0.2100
30,30,True,0.2200
30,31,True,0.2400
30,32,True,0.2500
30,33,True,0.2600
30,34,True,0.2800
30,35,True,0.3200
30,36,True,0.3700
30,37,True,0.4400
30,38,True,0.5300
30,39,True,0.6300
30,40,True,0.7400
30,41,True,0.8400
30,42,True,0.9500
30,43,True,1.0600
30,44,True,1.1800
30,45,True,1.3000
30,46,True,1.4100
30,47,True,1.5000
30,48,True,1.5900
30,49,True,1.7000
30,50,True,1.8700
35,20,False,0.1400
35,21,False,0.1400
35,22,False,0.1500
35,23,False,0.1500
35,24,False,0.1500
35,25,False,0.1500
35,26,False,0.1700
35,27,False,0.1700
35,28,False,0.1800
35,29,False,0.1800
35,30,False,0.1900
35,31,False,0.2000
35,32,False,0.2100
35,33,False,0.2300
35,34,False,0.2200
35,35,False,0.2400
35,36,False,0.2700
35,37,False,0.3100
35,38,False,0.3700
35,39,False,0.4400
35,40,False,0.5600
35,41,False,0.6300
35,42,False,0.6900
35,43,False,0.7700
35,44,False,0.8700
35,45,False,0.9300
35,46,False,1.0400
35,47,False,1.1600
35,48,False,1.2200
35,49,False,1.3800
35,50,False,1.7600
35,20,True,0.2100
35,21,True,0.2100
35,22,True,0.2100
35,23,True,0.2100
35,24,True,0.2200
35,25,True,0.2400
35,26,True,0.2400
35,27,True,0.2700
35,28,True,0.2900
35,29,True,0.2900
35,30,True,0.3000
35,31,True,0.3400
35,32,True,0.3600
35,33,True,0.3700
35,34,True,0.3800
35,35,True,0.4100
35,36,True,0.4800
35,37,True,0.5800
35,38,True,0.7100
35,39,True,0.8500
35,40,True,0.9300
35,41,True,1.0500
35,42,True,1.1800
35,43,True,1.2900
35,44,True,1.4200
35,45,True,1.4600
40,20,False,0.1600
40,21,False,0.1600
40,22,False,0.1700
40,23,False,0.1700
40,24,False,0.1700
40,25,False,0.1700
40,26,False,0.2000
40,27,False,0.2200
40,28,False,0.2500
40,29,False,0.2500
40,30,False,0.2600
40,31,False,0.2800
40,32,False,0.2900
40,33,False,0.3300
40,34,False,0.3400
40,35,False,0.4200
40,36,False,0.4800
40,37,False,0.5500
40,38,False,0.6600
40,39,False,0.7700
40,40,False,0.8100
40,41,False,0.9100
40,42,False,1.0000
40,43,False,1.1100
40,44,False,1.2500
40,45,False,1.4200
40,20,True,0.2300
40,21,True,0.2300
40,22,True,0.2300
40,23,True,0.2300
40,24,True,0.2500
40,25,True,0.2700
40,26,True,0.2700
40,27,True,0.3100
40,28,True,0.3300
40,29,True,0.3300
40,30,True,0.3400
40,31,True,0.3900
40,32,True,0.4100
40,33,True,0.4200
40,34,True,0.4300
40,35,True,0.4700
40,36,True,0.5400
40,37,True,0.6500
40,38,True,0.7900
40,39,True,0.9400
40,40,True,1.0500
